iter	Passed	Remaining
0	2	218
1	4	196
2	6	195
3	8	201
4	10	199
5	12	200
6	14	195
7	16	192
8	19	192
9	21	194
10	24	195
11	26	197
12	29	194
13	31	190
14	32	185
15	34	183
16	37	181
17	39	178
18	40	174
19	42	170
20	44	169
21	46	165
22	50	170
23	52	167
24	54	164
25	57	163
26	59	160
27	61	157
28	63	155
29	67	156
30	70	157
31	74	157
32	77	157
33	81	158
34	84	157
35	86	154
36	90	153
37	92	151
38	95	149
39	99	148
40	101	145
41	105	145
42	107	142
43	110	140
44	112	138
45	116	136
46	119	134
47	138	149
48	177	184
49	180	180
50	186	179
51	190	175
52	194	172
53	197	168
54	200	164
55	204	160
56	208	157
57	213	154
58	216	150
59	221	147
60	224	143
61	227	139
62	230	135
63	234	132
64	237	127
65	240	123
66	244	120
67	248	116
68	250	112
69	253	108
70	255	104
71	259	101
72	263	97
73	266	93
74	268	89
75	274	86
76	278	83
77	280	79
78	283	75
79	285	71
80	289	67
81	299	65
82	303	62
83	309	58
84	312	55
85	315	51
86	320	47
87	334	45
88	338	41
89	340	37
90	343	33
91	346	30
92	350	26
93	354	22
94	356	18
95	359	14
96	362	11
97	366	7
98	368	3
99	370	0
